#gene_id	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1	RNF43_WT_2	RNF43_WT_3	RNF43_WT_1	RNF43_WT_4	GFP_1	RNF43_R117fs_4	GFP_3	GFP_2	RNF43_R117fs_1	GFP_4	RNF43_R117fs_3	RNF43_R117fs_2
AARS	7.953283	8.014672000000001	8.033552	7.998588000000001	7.973930999999999	8.074656	7.998336	8.030886	8.192928	8.408238	8.189417	8.097657	8.165951	8.152045	8.288001	8.368032000000001
AARS2	4.185343	4.180788	4.1675629999999995	4.157497	4.197821	4.3453040000000005	4.249297	4.241136	4.2765260000000005	4.340553	4.173116	4.0190410000000005	4.362299	4.066858	3.9763940000000004	4.081821
AARSD1	6.011883	5.834	6.045299	6.030313	6.066914	6.071958	6.116809	6.077819	6.318842	6.201129	6.366593	6.4325339999999995	6.236648000000001	6.448216	6.372851	6.365832
AASDH	3.6622839999999997	3.793772	3.766888	3.714038	3.874211	3.850367	3.808102	3.953558	3.722887	3.022125	3.822589	3.79222	3.724011	3.851438	3.9717919999999998	3.9963050000000004
AASDHPPT	5.585837000000001	5.674976	5.704607	5.814477	5.893997	5.93409	5.946067	5.85389	5.901012000000001	5.207726999999999	5.84702	5.821785	6.002696	5.8071779999999995	5.742551000000001	5.921239
AASS	3.6567529999999997	3.8431260000000003	3.803839	3.607343	3.633111	3.6493260000000003	3.4758190000000004	3.529949	3.5589839999999997	2.936713	3.770255	3.762161	3.3820419999999998	3.7528120000000005	3.8137440000000002	3.656819
AATF	4.3573059999999995	4.413106	4.3128910000000005	4.360628	4.443036	4.576834	4.6882209999999995	4.570093	4.671094	4.743357	4.614512	4.794896	4.598185	4.878832	4.570228	4.559126999999999
AATK	3.1470279999999997	3.013928	3.051871	3.045452	2.671063	2.78513	2.615287	2.950323	3.227606	3.197875	2.991638	2.732422	2.781576	2.608625	2.58744	2.5507619999999998
AB019441.29	0.719692	0.670605	0.567283	0.901394	0.347609	0.25164000000000003	0.499384	0.448129	0.37043200000000004	0.473267	0.7558189999999999	0.41772600000000004	1.07225	0.397836	0.670913	0.916759
ABAT	1.371409	1.0506719999999998	1.3853739999999999	1.203877	1.124191	1.234579	0.98975	1.3752739999999999	1.8484349999999998	1.496497	1.882783	2.060057	1.111692	2.049138	1.54365	1.591379
ABC7-42404400C24.1	2.760812	2.754723	2.966593	2.325919	2.895434	3.027561	2.855998	2.59534	2.98417	2.825926	2.956204	2.942728	2.733704	2.714018	2.3630150000000003	3.0386610000000003
ABCA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36346300000000004	0.023528	0.5438649999999999	0.647383	0.0	0.733308	0.394728	0.0
ABCA10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.344916	0.0	0.0	0.10544100000000001	0.0	0.0
ABCA11P	2.1314610000000003	1.8372330000000001	1.938346	1.588352	1.960678	2.060433	2.154082	1.8562319999999999	2.2345639999999998	0.8505590000000001	2.330798	2.1164110000000003	1.855159	2.092381	2.134255	2.391885
ABCA17P	2.0142729999999998	2.336753	2.08276	1.854683	2.373701	1.7716900000000002	1.89809	1.98954	1.929671	1.4601389999999999	2.61407	2.371018	2.253445	2.058678	1.645689	1.8375110000000001
ABCA2	5.004363	5.198396	5.0972550000000005	4.937123000000001	4.659379	4.545959	4.573847	4.85021	4.879251999999999	5.386743	5.1694510000000005	4.471115	4.97513	4.782585	4.546283	5.026108
ABCA3	5.183873999999999	5.2852760000000005	5.261644	5.254704	4.771782	4.926126	4.877918	4.905876999999999	4.993595	5.562678	4.8970839999999995	4.995384	5.2888910000000005	4.974122	4.9441120000000005	5.037846
ABCA5	3.158741	3.001292	2.876386	3.076863	2.792105	3.168612	2.981631	2.982532	3.440469	2.752141	3.3334910000000004	3.084152	3.055816	3.249821	3.276153	3.0823650000000002
ABCA7	3.919057	3.9944230000000003	4.112072	3.751686	3.3902620000000003	3.502807	3.3584169999999998	3.744012	3.865213	4.2538089999999995	3.8882559999999997	3.93696	3.5190010000000003	3.874786	3.919918	3.9370309999999997
ABCA8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098848	0.0
ABCA9	0.083915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06631000000000001	0.0	0.044856	0.060615999999999996	0.094
ABCB1	3.015782	3.4990589999999995	2.879441	3.0069310000000002	2.903553	2.904258	2.593253	3.440754	3.251598	2.727821	3.528434	2.668283	3.1728520000000002	2.793421	3.295385	2.280996
ABCB10	5.40803	5.316553	5.352146	5.4269680000000005	5.243705	5.374798	5.453451	5.436698000000001	5.445223	4.959864	5.454914	5.206456	5.455869	5.172398	5.246487	5.241936
ABCB4	1.061324	0.458586	0.628953	0.9301879999999999	0.512004	0.731063	1.20479	0.980864	0.72191	1.432819	0.92906	0.8190529999999999	0.9594299999999999	1.317882	1.663947	1.950118
ABCB6	4.088589	3.9540629999999997	3.9520699999999995	3.570587	3.7715300000000003	3.5751239999999997	3.732101	3.6082589999999994	4.095898	3.887255	3.9555260000000003	3.717307	3.5363290000000003	4.1737660000000005	4.005383	3.9013150000000003
ABCB7	5.221847	5.28229	5.125472	5.447354	5.098544	5.262632	5.131876	5.280018	5.3327919999999995	5.585014	5.207091999999999	5.300607	5.285304	5.341309	5.254116000000001	5.170071
ABCB8	4.2672	3.89744	4.264883	3.906735	3.986847	4.08256	3.8910660000000004	3.9363620000000004	4.589301	4.130958000000001	4.33815	4.345875	4.1898029999999995	4.608722	3.9136870000000004	3.834054
ABCB9	2.9411869999999998	3.176614	2.794452	2.612374	2.6641880000000002	2.899854	2.301872	2.392948	3.063345	2.8612889999999997	3.2369939999999997	3.046093	2.7257130000000003	3.266466	2.912093	2.854736
ABCC1	3.502505	3.980255	3.643567	3.7938400000000003	3.4892	3.507484	3.861218	3.843646	3.8506519999999997	3.99475	3.820319	3.693774	3.9404449999999995	3.9412519999999995	3.588288	3.492132
ABCC10	4.260435	4.3006519999999995	4.12512	3.902624	3.807915	4.10316	4.250605999999999	3.92916	4.337733	4.6319040000000005	4.397284	4.136482	4.127294	4.103606	4.056202	4.011426
ABCC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02385	0.0	0.0	0.0	0.0	0.0
ABCC2	0.8443229999999999	0.668017	0.390315	0.257509	0.22391599999999998	0.684852	0.0	0.0	0.920682	0.759306	0.44085699999999994	0.933278	0.35470799999999997	1.072125	1.013535	0.675596
ABCC4	3.658233	3.8150589999999998	3.685542	3.77146	3.649169	3.600864	3.6098550000000005	3.712075	3.564546	3.166662	3.706255	3.693129	3.739182	3.716585	3.496201	3.702561
ABCC5	4.42652	4.7043669999999995	4.383368	4.260134	4.077679	4.129322	4.096362	4.036693	4.185128	4.1366309999999995	4.49177	4.246843	4.020518	4.570385	4.219255	4.09283
ABCC6	1.161327	0.8666450000000001	0.853825	0.18204	0.7935270000000001	0.928157	0.482088	0.598021	0.7533880000000001	1.068773	0.971834	0.8674940000000001	0.868216	0.983665	0.986992	0.601468
ABCC6P1	1.391259	1.645287	1.4700540000000002	1.4328049999999999	1.7255209999999999	1.712306	1.585684	1.7133310000000002	1.227797	1.2076069999999999	1.583241	1.59826	1.852538	1.482404	1.330071	2.1215509999999997
ABCC6P2	1.266991	0.715584	0.0	0.0	0.0	1.049061	0.0	0.9495239999999999	0.0	0.0	0.0	0.0	0.776623	0.653675	1.7233580000000002	1.5560610000000001
ABCC8	2.290836	1.8978240000000002	2.55857	1.6842380000000001	2.369738	2.741979	2.76024	2.207578	2.484937	2.723013	2.819035	2.683907	2.235578	2.928474	1.8658689999999998	2.902333
ABCC9	0.650127	0.40439400000000003	0.577909	0.423048	0.097874	0.466008	0.158468	0.146188	0.298552	0.187606	0.7366010000000001	0.563759	0.202008	0.458218	0.8283590000000001	0.42728999999999995
ABCD1	2.532663	2.4327959999999997	2.454555	2.1772169999999997	2.287496	2.6144950000000002	2.329646	2.364462	3.314121	2.839657	2.339642	2.842597	2.432716	2.824827	2.727328	2.3878909999999998
ABCD3	4.977302	5.086727	5.11455	5.156911	5.057012	5.142829	5.167788	5.140497	5.11002	4.784819000000001	5.298811	5.329915	5.1490279999999995	5.453247	5.1281550000000005	5.216143
ABCD4	5.393513	5.3900879999999995	5.437049	5.449917	5.156168	5.535869	5.473252	5.463197	5.861129	5.572527	5.966495	5.725245	5.689122	5.683714	5.499735	5.443533
ABCE1	6.6158470000000005	6.484795	6.495864	6.515423	6.662443	6.74108	6.562844999999999	6.599255	6.4971879999999995	6.2450980000000005	6.395048	6.415589	6.600552	6.486593	6.748301	6.695154
ABCF1	5.5602599999999995	5.595646	5.61405	5.482232	5.592313	5.427075	5.463123	5.476429	5.364388	5.620173	5.404584	5.366901	5.411265	5.6203080000000005	5.352109	5.639732
ABCF2	5.6777489999999995	5.710762	5.682377	5.691486	5.5703879999999995	5.694383	5.476426	5.748136	5.518006	5.829473	5.481944	5.496385	5.741455	5.712184	5.836311	5.806686
ABCF3	4.452439	4.727917	4.618485	4.320359	4.653103	4.768354	4.536579	4.612682	4.567556	5.03489	4.976421	4.842547	4.944561	4.947234	5.1636120000000005	5.013986
ABCG1	2.5714490000000003	2.7205790000000003	2.6111419999999996	2.673233	2.458421	2.58833	2.3660360000000003	2.5586759999999997	2.969198	3.190584	3.034926	2.984265	2.777768	2.904147	3.0078400000000003	3.005106
ABCG2	1.531224	0.246448	0.5041680000000001	0.0	1.037547	0.447297	0.426266	1.517994	0.0	0.0	0.0	0.0	0.9073709999999999	0.938097	1.468497	0.9805969999999999
ABCG4	1.662284	1.917846	1.8436860000000002	1.38592	1.425992	1.352722	0.924176	1.538905	2.023266	2.281645	2.100129	2.023088	1.6139709999999998	2.390868	1.8514240000000002	2.0025
ABHD1	1.60742	2.101786	1.6566009999999998	1.639484	2.213661	1.969812	1.949639	1.819223	2.311	2.1844740000000002	2.307353	2.2449630000000003	1.649786	1.96318	1.752965	2.0135959999999997
ABHD10	5.831772	5.645764	5.645104	5.740492	5.908713	5.891380000000001	5.932605000000001	5.920214	5.749786	5.875757	5.785069999999999	5.795897	5.904839	5.804164	5.9474029999999996	6.01966
ABHD11	4.24326	4.0578080000000005	4.003492	4.264631	4.396137	4.288463	4.484509	4.4827650000000006	4.641363	4.681398000000001	4.514983999999999	4.229526	4.322661	4.213841	4.2385839999999995	4.3437589999999995
ABHD12	5.2012410000000004	5.321617	5.193846	5.150893	5.2634099999999995	5.242686	5.3640669999999995	5.2757559999999994	5.292129	4.963526	5.505611	5.451918	5.373697	5.4098809999999995	4.957118	5.162623
ABHD12B	2.811266	2.1050720000000003	2.572962	2.2680740000000004	2.158286	2.797666	2.4258490000000004	2.463738	2.327222	1.9179080000000002	2.400186	2.083241	2.323037	2.3095779999999997	1.885431	2.17089
ABHD13	1.8608240000000003	1.9565290000000002	1.859234	2.055439	1.8864880000000002	1.869177	1.846509	1.969141	1.945181	0.87126	2.156002	2.1041220000000003	1.9086020000000001	2.043068	1.926159	2.119303
ABHD14A	4.7707180000000005	4.938054	4.960432	4.80741	4.753849	4.618504	4.725578	4.790589	4.743367	5.065601	4.712752	4.705956	4.737258	4.775746	4.786453	4.7115339999999994
ABHD14A-ACY1	0.714576	0.633296	2.305001	2.407868	2.748911	2.1830279999999997	1.896829	1.9689020000000002	1.691129	2.7074759999999998	1.0750680000000001	0.40717600000000004	2.792464	2.578783	2.234131	1.593795
ABHD14B	5.500376	5.553433999999999	5.589981	5.472791	5.642104	5.533403	5.543273999999999	5.531512	5.507598000000001	5.804339	5.361276	5.404374	5.634183999999999	5.419452	5.698397	5.5797
ABHD15	2.724098	2.738061	2.680817	2.641037	2.525961	2.4443330000000003	2.466416	2.444476	2.725684	2.742041	2.76127	2.726044	2.6711139999999998	2.508322	2.2626619999999997	2.392974
ABHD16A	2.386891	2.105811	2.15449	1.278528	1.8525759999999998	1.6241889999999999	1.932954	1.6652529999999999	2.884405	3.248576	3.132862	2.839747	3.174497	2.410072	2.473725	3.138686
ABHD16B	1.7686419999999998	1.74395	1.837221	1.8516709999999998	1.698663	1.8083770000000001	1.443951	1.319364	2.0935669999999997	2.4386419999999998	1.973854	2.018364	1.678897	1.488839	1.932938	1.8551009999999999
ABHD17A	6.071848	6.004141000000001	6.140498	6.019678	5.893786	5.832378	5.856644999999999	5.821459	6.164097	6.3922989999999995	5.971119	6.136957	5.984033	6.0612010000000005	5.751947	5.936545
ABHD17AP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43100200000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21587699999999999	0.0	0.0	0.0	0.0
ABHD17AP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089322	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17B	4.341836	4.437043	4.340465	4.357997	4.224661	4.219053	4.250298	4.181674	4.378622	4.155718	4.395894	4.489198	4.269169000000001	4.498886	4.2674129999999995	4.381730999999999
ABHD17C	4.517499	4.456028	4.564858	4.392366	4.484783	4.355926999999999	4.493249	4.332085	4.350295	4.2270769999999995	4.4635370000000005	4.023647	4.137916000000001	4.3832379999999995	4.3283510000000005	4.4734169999999995
ABHD18	3.697839	3.754954	3.7792230000000004	3.7655510000000003	3.5518	3.833336	3.3881699999999997	3.77985	3.976175	3.376646	3.907632	4.023562	3.508951	3.9678139999999997	3.8121059999999996	3.679432
ABHD2	4.028251999999999	4.103262	4.041404	3.9855449999999997	3.9977419999999997	3.997868	3.9406190000000003	4.119836	4.293318	4.13933	4.39154	4.371733	4.128998	3.995223	4.297611	3.922447
ABHD3	4.375335	4.394841	4.329375	4.197108999999999	4.132601999999999	4.070656	4.111346	4.069732	4.294808	2.9134450000000003	4.565389	4.181135	3.90624	4.3386510000000005	3.779236	3.7533279999999998
ABHD4	3.9557339999999996	4.253747	4.156264	4.25345	3.8985220000000003	4.106911	4.164692	4.154517	4.419029	4.6382129999999995	4.274342	4.544029	4.190009	4.523836	4.346807	4.188461
ABHD5	3.8655730000000004	4.121052	3.9142230000000002	3.816753	3.8649839999999998	3.760965	3.5580559999999997	3.660514	3.5775	3.3755230000000003	3.938936	3.778458	3.772445	4.144097	3.674082	3.637838
ABHD6	3.5050220000000003	3.5092559999999997	3.595093	3.299125	3.46845	3.396571	3.170614	3.236746	3.433864	3.03714	3.366936	3.5639089999999998	3.3843050000000003	3.6493870000000004	3.8405910000000003	3.2924839999999995
ABHD8	3.646955	3.5877230000000004	3.5501050000000003	3.524814	3.289961	3.445901	3.35264	3.327843	4.0643910000000005	4.150305	3.990652	4.114904	3.485008	4.1228110000000004	3.530464	3.5687300000000004
ABI1	5.0177309999999995	4.962233	4.897753	4.891552	5.092299	5.179385	5.079594999999999	4.998994000000001	5.1882209999999995	4.887112999999999	5.268026	5.359589	5.123023	5.33787	5.115546	5.014953
ABI2	5.78285	5.933381	5.7987	5.937836	5.767151	5.817178	5.7334879999999995	5.855033000000001	5.994983	6.30168	5.776165	5.867644	5.920433	5.982983	5.9561839999999995	5.93586
ABI3BP	2.1381919999999996	2.097865	1.449747	2.2096	1.894996	1.419537	1.730432	1.272332	2.067335	2.353135	1.7278069999999999	1.402534	1.4004219999999998	1.504721	1.752706	2.38995
ABL1	5.198511	5.071021	5.038469999999999	5.0222620000000004	5.00347	5.0305290000000005	5.069863	5.111397	5.216896	5.12545	5.181692	5.169173000000001	5.074403	5.243981	5.083373	5.064341000000001
ABL2	4.0765709999999995	4.100563	3.8599930000000002	3.822864	3.7644699999999998	3.822689	3.4788980000000005	3.902831	3.771593	3.753882	3.999843	3.9703470000000003	3.710314	4.099944	3.9121900000000003	3.923282
ABLIM1	4.589926	4.409969	4.519414	4.542822	4.432693	4.447833999999999	4.229641	4.356095	4.331939	4.517915	4.433229	4.423003	4.367598	4.319997	4.500877	4.545148999999999
ABLIM2	0.0	0.013765000000000001	0.47151899999999997	0.778292	0.24459699999999998	0.074528	0.508088	0.504945	0.0	0.8858450000000001	0.5425449999999999	0.37353200000000003	0.568227	0.8488629999999999	0.645311	0.404532
ABLIM3	0.268662	0.167052	0.372244	0.855715	0.836291	0.554596	0.5229779999999999	0.578735	0.0	0.9283319999999999	0.0	0.0	0.598136	0.0	0.536643	0.809542
ABR	2.552262	2.697325	2.7806	2.547854	2.440298	2.3110009999999996	2.7064060000000003	1.783282	2.913423	2.75588	3.155232	2.907522	2.642835	2.9968209999999997	2.505448	1.7122279999999999
ABRACL	5.952921	6.0783760000000004	5.980002	5.905611	5.884854	5.688796	5.748035	5.722939	5.571267	4.918634	5.777683000000001	5.735777	5.5578330000000005	5.7704830000000005	5.802553	5.678224
ABT1	5.015043	4.983623000000001	4.984453	4.889147	5.052098	4.911418	4.9045760000000005	5.010552	5.136483	5.125986	4.984421	5.190994	4.959158	5.195867	5.083741000000001	4.954797
ABTB1	3.231157	3.196513	3.2590049999999997	2.847165	2.898596	3.2054270000000002	3.160345	3.0375919999999996	3.817069	3.3870989999999996	3.6715739999999997	3.8752230000000005	3.246276	4.358059	2.912102	3.1703490000000003
ABTB2	2.433237	2.37736	2.385373	2.312369	2.3834	2.147072	2.0024290000000002	2.290766	2.4394080000000002	2.8138240000000003	2.308294	2.71864	2.27601	2.455918	2.315066	2.270275
AC000078.5	0.45118199999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.231039	0.0	0.0	0.0	0.0	0.38479	0.0	0.159138
AC000089.3	0.0	0.0	0.0	0.0	0.103907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.183137
AC000095.12	0.0	0.0	0.0	0.230019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031932	0.0	0.0	0.01584
AC002075.4	1.155341	0.8632489999999999	0.0	1.2851709999999998	0.717359	0.0	0.0	0.0	0.0	0.0	0.0	0.9482870000000001	0.0	0.014827000000000002	0.0	0.0
AC002310.11	2.931781	3.066738	2.5052529999999997	2.337314	2.95227	2.8967970000000003	2.920558	2.977441	3.4557279999999997	3.4840480000000005	3.130998	2.916343	3.124108	2.755116	2.265914	2.384362
AC002310.13	1.544728	1.4245139999999998	0.0	2.797831	1.8703490000000003	2.439942	1.8893799999999998	0.293111	2.355921	2.670219	1.881085	1.883859	1.777771	1.272626	2.107504	1.6463240000000001
AC002310.17	1.142283	0.0	0.9955129999999999	0.0	0.518837	0.9096120000000001	0.27852	0.45154099999999997	1.7838669999999999	0.036116	2.859906	2.335469	1.11214	0.814591	0.17583800000000002	1.2671459999999999
AC002398.9	2.812511	2.355752	2.674671	1.964661	2.7528580000000002	2.350277	3.351063	2.6038930000000002	3.581857	3.58017	2.9611080000000003	3.930804	3.0519220000000002	3.836015	3.183523	3.379843
AC002985.3	1.478423	2.0266189999999997	1.0338559999999999	0.81501	0.9464389999999999	0.053320000000000006	0.0	0.0	1.368349	1.5539450000000001	1.374416	0.349026	0.304196	1.364455	0.388156	0.970957
AC003002.4	0.0	0.0	0.0	0.0	0.0	0.525257	0.0	0.0	0.0	0.0	0.0	0.088386	0.0	0.0	0.0	0.0
AC003002.6	0.58715	0.0	0.0	0.13259	0.0	0.872109	0.0	0.091883	0.349099	1.576275	0.0	0.9628909999999999	0.0	0.23521199999999998	0.0	0.0
AC003006.7	0.0	0.0	0.0	0.0	0.0	0.0	1.233101	0.0	0.30999099999999996	1.246429	1.7804229999999999	0.513339	0.458064	0.0	0.0	0.70365
AC004057.1	8.320819	8.327641999999999	8.439169999999999	8.214975	8.472561	8.29001	8.536581	8.160345	8.578392	8.362781	8.427841	8.551997	8.465060000000001	8.663149	8.101393	8.20348
AC004076.7	1.2344030000000001	1.1472870000000002	1.368131	0.0	0.114434	0.50288	0.44220600000000004	0.0	1.5098530000000001	0.5364909999999999	1.4455149999999999	0.16788499999999998	0.45793	1.326543	0.202888	2.125271
AC004158.1	0.0	0.0	0.061486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3910200000000001	0.0	0.0	0.0	0.0
AC004381.6	3.3590760000000004	2.988009	3.078763	3.214651	3.64169	3.689631	3.6677519999999997	3.5791480000000004	3.914111	3.04983	3.742811	3.8656699999999997	3.3383849999999997	3.7086629999999996	3.1490810000000002	3.246396
AC004383.3	0.0	0.11716300000000002	0.0	0.0	0.0	0.22819699999999998	0.272537	0.0	0.780596	0.0	0.0	0.0	0.844354	0.0	0.0	0.6762670000000001
AC004386.4	0.47718	0.8782	0.611937	0.661695	0.830799	1.078255	0.753998	0.7828109999999999	0.667238	0.0	1.006513	0.5534979999999999	0.74565	0.670315	0.694595	1.075382
AC004453.8	1.28765	1.139168	1.206849	1.492499	0.398854	0.313153	1.4180059999999999	1.763739	0.0	0.0	0.24939699999999998	0.49427200000000004	0.5441	1.26129	0.9037790000000001	0.968305
AC004556.1	0.0	0.0	0.0	0.0	0.0	1.1122	0.523522	1.6175950000000001	0.0	0.0	0.869974	0.020356	0.923552	0.0	1.3052350000000001	0.0
AC004692.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45127700000000004	0.0	0.0	0.0	0.0	0.0	0.0
AC004813.1	4.758575	5.0392220000000005	4.828901	4.944498	4.258564	4.730596	4.577115	4.763953	4.7293080000000005	3.330243	4.806298	5.007258	4.542722	5.076247	4.848488	4.536656
AC004824.1	0.0	1.177918	0.0	0.0	1.149448	0.0	0.0	0.6294270000000001	0.0	0.0	0.0	0.0	0.0	0.0	1.356961	0.0
AC004941.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43295900000000004	0.0	0.0	0.0	0.0	0.0
AC004951.5	1.677116	1.0890030000000002	1.241383	1.438256	1.452258	0.983532	1.154382	0.8146899999999999	1.89957	1.7226099999999998	1.819321	2.593937	1.119947	2.152222	1.587034	1.146825
AC004953.1	0.0	0.0	0.0	0.0	0.0	0.0	0.350531	0.0	0.0	0.0	0.203539	0.520649	0.0	0.536421	0.0	0.0
AC004967.7	3.2953089999999996	2.830075	2.997016	2.795921	3.342654	2.926193	3.059459	2.9422200000000003	3.497778	3.415799	2.751687	3.2160279999999997	2.812913	3.3076589999999997	3.099536	2.828246
AC004980.7	1.533934	1.174701	1.2126649999999999	1.2105549999999998	1.388991	2.069718	1.452125	1.374199	2.49018	1.799771	2.363636	2.776816	1.75725	2.512757	1.5741	1.8106900000000001
AC004980.9	0.0	0.0	0.0	0.849303	0.0	0.0	0.0	0.0	0.0	0.0	0.231248	0.0	0.0	0.0	0.0	0.224769
AC004985.12	1.283169	0.789804	0.803318	0.282831	0.971339	1.013405	0.668836	0.8362959999999999	1.695491	1.100984	1.962068	1.990577	0.955536	1.79837	1.140275	1.561556
AC005077.5	0.0	0.0	0.0	0.9829190000000001	0.0	0.0	0.0	0.861074	0.0	0.0	0.0	0.0	0.0	1.225806	0.0	0.0
AC005086.1	2.039216	0.018136000000000003	1.890563	3.0308900000000003	2.613946	1.803942	1.7584689999999998	0.345044	2.681566	0.0	0.43295900000000004	2.96932	0.008357999999999999	3.031709	1.0725790000000002	0.8052020000000001
AC005086.2	0.0	0.0	0.023694999999999997	0.33127	0.0	0.0	0.0	0.0	0.0	0.0	2.118077	2.038011	0.0	0.0	1.150963	1.408255
AC005086.3	0.974397	0.0	0.0	0.0	0.0	0.73888	0.0	0.0	0.0	0.0	0.948982	0.0	0.524385	1.225806	0.0	0.678225
AC005094.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.584222	0.0	0.0
AC005237.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0186629999999999	0.0	0.0
AC005255.3	0.0	0.0	0.0	0.879549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.485241	0.0
AC005281.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029856	0.0	0.0	0.145824	0.0
AC005363.9	3.267095	3.3757349999999997	3.8407449999999996	3.4449589999999994	1.3189819999999999	1.9631189999999998	1.504046	2.344721	2.150641	0.0	3.4576860000000003	3.809229	3.169638	4.466647	4.179925	2.647828
AC005480.1	0.333447	1.121214	0.185169	0.933066	1.371882	0.098824	0.468635	0.96209	0.561038	0.0	0.0	0.749963	0.11079100000000001	0.0	0.367058	0.45771999999999996
AC005517.3	1.0898510000000001	0.910326	0.8080229999999999	0.6159720000000001	0.926956	0.6846479999999999	0.7559130000000001	0.0	0.756332	0.7882600000000001	0.288819	0.591067	0.397036	0.481258	0.9870950000000001	1.2876379999999998
AC005838.2	0.292252	0.0	0.0	0.0	0.0	3.193251	0.0	0.0	1.812921	2.034043	0.0	1.015076	0.323439	0.0	0.0	1.9102720000000002
