STUDY_ID	SAMPLE_ID	RNF43
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3725-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3726-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3727-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3731-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3732-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3742-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3878-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3881-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3882-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3883-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3885-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3887-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3890-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3892-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3893-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3894-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3896-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3898-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3901-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3902-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3909-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-4001-01	E742Gfs*5
coadread_tcga_pan_can_atlas_2018	TCGA-AG-4008-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-4015-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-4021-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-4022-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A002-01	L82S
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A008-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A00C-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A00Y-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A011-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A015-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A016-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A01J-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A01L-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A01N-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A01W-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A01Y-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A020-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A026-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A02N-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A02X-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-A032-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AH-6544-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AH-6547-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AH-6643-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AH-6644-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AH-6897-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AH-6903-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CI-6619-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CI-6620-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CI-6621-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CI-6622-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CI-6623-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CI-6624-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CL-4957-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CL-5917-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CL-5918-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-4745-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-4749-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-5337-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-5869-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6154-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6155-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6157-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6158-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6160-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6681-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6682-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6683-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DT-5265-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DY-A0XA-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DY-A1DC-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DY-A1DD-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DY-A1DF-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DY-A1DG-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-DY-A1H8-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EF-5830-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6506-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6507-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6508-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6509-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6510-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6511-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6512-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6513-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6514-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6881-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6882-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6883-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6884-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6885-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-6917-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-7002-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-EI-7004-01	E43Nfs*8
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6464-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6465-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6571-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6702-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6810-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6811-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6812-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6813-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6814-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6861-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6863-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-F5-6864-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-G5-6641-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-3L-AA1B-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-4N-A93T-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-4T-AA8H-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-5M-AAT4-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-5M-AAT6-01	G659Vfs*41 R668Q
coadread_tcga_pan_can_atlas_2018	TCGA-5M-AATE-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2671-01	A629Pfs*71
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2674-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2675-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2677-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2678-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2681-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2683-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2684-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2685-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-2686-01	G659Vfs*41 P192Rfs*11
coadread_tcga_pan_can_atlas_2018	TCGA-A6-3807-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-3809-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-3810-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-4105-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-4107-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5656-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5657-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5659-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5660-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5661-01	W200*
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5662-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5664-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5665-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5666-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-5667-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6137-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6138-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6142-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6648-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6649-01	Q426*
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6651-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6652-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6653-01	G659Vfs*41 E278del
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6654-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6780-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6781-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-A6-6782-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-A565-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-A566-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-A567-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-A6-A56B-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3489-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3492-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3496-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3502-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3506-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3510-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3511-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3514-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3517-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3519-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3520-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3521-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3522-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3524-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3526-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3527-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3529-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3530-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3531-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3532-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3534-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3538-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3544-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3548-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3549-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3558-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3560-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3561-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3655-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3660-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3663-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3664-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3666-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3667-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3673-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3675-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3678-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3679-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3680-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3681-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3684-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3685-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3688-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3692-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3693-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3695-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3696-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3712-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3713-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3715-01	A689T
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3811-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3812-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3814-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3818-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3819-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3821-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3831-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3833-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3837-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3841-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3842-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3844-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3845-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3846-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3848-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3850-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3851-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3852-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3854-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3855-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3856-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3858-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3864-01	P538S
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3866-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3867-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3875-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3877-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3947-01	G659Vfs*41 P441Hfs*2
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3949-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3950-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3952-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3955-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3956-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3966-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3968-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3971-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3973-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3975-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3976-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3977-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3979-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3982-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3984-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3986-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3989-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-3994-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A004-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A00N-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A00Z-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A010-01	S216L
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A017-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01C-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01I-01	S495Y
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01P-01	A752T
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01R-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01S-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01T-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01V-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01X-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A01Z-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A022-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A024-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A02E-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A02F-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A02H-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A02O-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A02R-01	S38C
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A02W-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A02Y-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A03F-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AA-A03J-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-5900-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6548-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6888-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6889-01	G659Vfs*41 H697R
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6890-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6895-01	G659Vfs*41 P569H
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6899-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6901-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6963-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6964-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-AD-6965-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AD-A5EJ-01	G659Vfs*41 S475Y
coadread_tcga_pan_can_atlas_2018	TCGA-AD-A5EK-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AM-5820-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AM-5821-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AU-3779-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AU-6004-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-AY-4070-01	X84_splice
coadread_tcga_pan_can_atlas_2018	TCGA-AY-4071-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-5543-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-6196-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-6197-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-6386-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-A54L-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-A69D-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-A71X-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AY-A8YK-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4308-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4315-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4323-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4614-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4615-01	G659Vfs*41 G67C
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4616-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4681-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-4682-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-5403-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-5407-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-6598-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-6599-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-6600-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-6603-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-6605-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-6606-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AZ-6607-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-5254-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-5255-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-5256-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-5796-01	L17*
coadread_tcga_pan_can_atlas_2018	TCGA-CA-5797-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-6715-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-6716-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-6717-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-6718-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CA-6719-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-4947-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-4948-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-4950-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-4951-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-CK-4952-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-5912-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-5913-01	G659Vfs*41
coadread_tcga_pan_can_atlas_2018	TCGA-CK-5914-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-5915-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-5916-01	C119Lfs*6
coadread_tcga_pan_can_atlas_2018	TCGA-CK-6746-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-6747-01	V299Gfs*143
coadread_tcga_pan_can_atlas_2018	TCGA-CK-6748-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CK-6751-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CM-4743-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CM-4744-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CM-4746-01	R437Q
coadread_tcga_pan_can_atlas_2018	TCGA-CM-4747-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CM-4748-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-CM-4750-01	WT
